scenario,initial_investment,mu,sigma,days,simulations,VaR_95,CVaR_95
optimistic,10000,0.1,0.1,252,500,472.1667180359691,510.122201891807
pessimistic,10000,0.03,0.25,252,500,1056.0168865717715,1171.7039991524616
